source_deposit,LABEL,LONGITUDE,LATITUDE,PROVINCEID
,0,144.78616813402024,-30.11592049668098,GA.GeologicProvince.529302
Estoril,1,147.4060795493613,-34.28539706562916,
,0,141.98679139510634,-31.319401456933985,GA.GeologicProvince.530359
Kangaroo Hill,1,147.359229576283,-34.14461112172769,
Endeavour 43 (E43),1,147.51434323620106,-33.7234590466876,
,0,145.2814946109465,-25.076495743297144,GA.GeologicProvince.529302
,0,145.61849500034887,-24.00326066883816,GA.GeologicProvince.550790
,0,127.75621829569312,-28.97383317804602,GA.GeologicProvince.22115
,0,146.5165376265228,-20.94905071518106,GA.GeologicProvince.20489
Bodangora,1,148.99135094327738,-32.43729870104535,
,0,126.76232225470535,-24.037943923368648,GA.GeologicProvince.468269
Mount Abbot,1,147.94463045243734,-20.201391928228016,
,0,133.66514889278744,-22.378776435456714,GA.GeologicProvince.467256
,0,121.64349551652238,-23.76463081794789,GA.GeologicProvince.464562
,0,142.23282512852057,-29.969640666202185,GA.GeologicProvince.529302
,0,122.65054615884593,-22.61853949818865,GA.GeologicProvince.466205
,0,141.76361633188813,-26.087751215599678,GA.GeologicProvince.529302
,0,144.5371548024327,-21.979910374064545,GA.GeologicProvince.529302
,0,146.9331685720521,-26.355002688956866,GA.GeologicProvince.20489
,0,127.1177126584115,-24.016182776256368,GA.GeologicProvince.466901
,0,143.9122225910541,-27.68352946918045,GA.GeologicProvince.529801
,0,123.2478496038396,-21.04693817739875,GA.GeologicProvince.468269
,0,129.69019657549023,-15.307771703040856,GA.GeologicProvince.467103
Briggs,1,150.7151550161013,-23.99248931689839,
Western Tharsis,1,145.56830182433518,-41.97166383295632,
,0,148.49577393449113,-31.186985608737853,GA.GeologicProvince.27354
,0,126.23633976370002,-15.174909606565024,GA.GeologicProvince.467107
,0,128.82887386561046,-23.3055452088085,GA.GeologicProvince.467256
,0,132.5930790443272,-24.993379072824208,GA.GeologicProvince.466901
,0,133.8656953832872,-25.15739220552057,GA.GeologicProvince.466901
,0,139.1125395717946,-24.82157882550452,GA.GeologicProvince.512258
,0,135.52105940441822,-26.586669610328823,GA.GeologicProvince.20489
,0,130.56323183719422,-14.547858535695688,GA.GeologicProvince.569185
Ferndale,1,149.1222303094798,-33.488105744058224,
